country;Year;Population
Afghanistan;2023;42239854
Afghanistan;2022;41128771
Afghanistan;2020;38972230
Afghanistan;2015;33753499
Afghanistan;2010;28189672
Afghanistan;2000;19542982
Afghanistan;1990;10694796
Albania;2023;2832439
Albania;2022;2842321
Albania;2020;2866849
Albania;2015;2882481
Albania;2010;2913399
Albania;2000;3182021
Albania;1990;3295066
Algeria;2023;45606480
Algeria;2022;44903225
Algeria;2020;43451666
Algeria;2015;39543154
Algeria;2010;35856344
Algeria;2000;30774621
Algeria;1990;25518074
American Samoa;2023;43914
American Samoa;2022;44273
American Samoa;2020;46189
American Samoa;2015;51368
American Samoa;2010;54849
American Samoa;2000;58230
American Samoa;1990;47818
Andorra;2023;80088
Andorra;2022;79824
Andorra;2020;77700
Andorra;2015;71746
Andorra;2010;71519
Andorra;2000;66097
Andorra;1990;53569
Angola;2023;36684202
Angola;2022;35588987
Angola;2020;33428485
Angola;2015;28127721
Angola;2010;23364185
Angola;2000;16394062
Angola;1990;11828638
Anguilla;2023;15899
Anguilla;2022;15857
Anguilla;2020;15585
Anguilla;2015;14525
Anguilla;2010;13172
Anguilla;2000;11047
Anguilla;1990;8316
Antigua and Barbuda;2023;94298
Antigua and Barbuda;2022;93763
Antigua and Barbuda;2020;92664
Antigua and Barbuda;2015;89941
Antigua and Barbuda;2010;85695
Antigua and Barbuda;2000;75055
Antigua and Barbuda;1990;63328
Argentina;2023;45773884
Argentina;2022;45510318
Argentina;2020;45036032
Argentina;2015;43257065
Argentina;2010;41100123
Argentina;2000;37070774
Argentina;1990;32637657
Armenia;2023;2777970
Armenia;2022;2780469
Armenia;2020;2805608
Armenia;2015;2878595
Armenia;2010;2946293
Armenia;2000;3168523
Armenia;1990;3556539
Aruba;2023;106277
Aruba;2022;106445
Aruba;2020;106585
Aruba;2015;104257
Aruba;2010;100341
Aruba;2000;89101
Aruba;1990;65712
Australia;2023;26439111
Australia;2022;26177413
Australia;2020;25670051
Australia;2015;23820236
Australia;2010;22019168
Australia;2000;19017963
Australia;1990;17048003
Austria;2023;8958960
Austria;2022;8939617
Austria;2020;8907777
Austria;2015;8642421
Austria;2010;8362829
Austria;2000;8010428
Austria;1990;7678729
Azerbaijan;2023;10412651
Azerbaijan;2022;10358074
Azerbaijan;2020;10284951
Azerbaijan;2015;9863480
Azerbaijan;2010;9237202
Azerbaijan;2000;8190337
Azerbaijan;1990;7427836
Bahamas;2023;412623
Bahamas;2022;409984
Bahamas;2020;406471
Bahamas;2015;392697
Bahamas;2010;373272
Bahamas;2000;325014
Bahamas;1990;270679
Bahrain;2023;1485509
Bahrain;2022;1472233
Bahrain;2020;1477469
Bahrain;2015;1362142
Bahrain;2010;1213645
Bahrain;2000;711442
Bahrain;1990;517418
Bangladesh;2023;172954319
Bangladesh;2022;171186372
Bangladesh;2020;167420951
Bangladesh;2015;157830000
Bangladesh;2010;148391139
Bangladesh;2000;129193327
Bangladesh;1990;107147651
Barbados;2023;281995
Barbados;2022;281635
Barbados;2020;280693
Barbados;2015;278083
Barbados;2010;274711
Barbados;2000;264657
Barbados;1990;258868
Belarus;2023;9498238
Belarus;2022;9534954
Belarus;2020;9633740
Belarus;2015;9700609
Belarus;2010;9731427
Belarus;2000;10256483
Belarus;1990;10428525
Belgium;2023;11686140
Belgium;2022;11655930
Belgium;2020;11561717
Belgium;2015;11248303
Belgium;2010;10877947
Belgium;2000;10264343
Belgium;1990;9959560
Belize;2023;410825
Belize;2022;405272
Belize;2020;394921
Belize;2015;359871
Belize;2010;322106
Belize;2000;240406
Belize;1990;182589
Benin;2023;13712828
Benin;2022;13352864
Benin;2020;12643123
Benin;2015;10932783
Benin;2010;9445710
Benin;2000;6998023
Benin;1990;5133419
Bermuda;2023;64069
Bermuda;2022;64184
Bermuda;2020;64031
Bermuda;2015;63144
Bermuda;2010;63447
Bermuda;2000;61371
Bermuda;1990;57470
Bhutan;2023;787424
Bhutan;2022;782455
Bhutan;2020;772506
Bhutan;2015;743274
Bhutan;2010;705516
Bhutan;2000;587207
Bhutan;1990;558442
Bolivia;2023;12388571
Bolivia;2022;12224110
Bolivia;2020;11936162
Bolivia;2015;11090085
Bolivia;2010;10223270
Bolivia;2000;8592656
Bolivia;1990;7096194
Bosnia and Herzegovina;2023;3210847
Bosnia and Herzegovina;2022;3233526
Bosnia and Herzegovina;2020;3318407
Bosnia and Herzegovina;2015;3524324
Bosnia and Herzegovina;2010;3811088
Bosnia and Herzegovina;2000;4179350
Bosnia and Herzegovina;1990;4494310
Botswana;2023;2675352
Botswana;2022;2630296
Botswana;2020;2546402
Botswana;2015;2305171
Botswana;2010;2091664
Botswana;2000;1726985
Botswana;1990;1341474
Brazil;2023;216422446
Brazil;2022;215313498
Brazil;2020;213196304
Brazil;2015;205188205
Brazil;2010;196353492
Brazil;2000;175873720
Brazil;1990;150706446
British Virgin Islands;2023;31538
British Virgin Islands;2022;31305
British Virgin Islands;2020;30910
British Virgin Islands;2015;29366
British Virgin Islands;2010;27556
British Virgin Islands;2000;20104
British Virgin Islands;1990;15617
Brunei;2023;452524
Brunei;2022;449002
Brunei;2020;441725
Brunei;2015;421437
Brunei;2010;396053
Brunei;2000;333926
Brunei;1990;261928
Bulgaria;2023;6687717
Bulgaria;2022;6781953
Bulgaria;2020;6979175
Bulgaria;2015;7309253
Bulgaria;2010;7592273
Bulgaria;2000;8097691
Bulgaria;1990;8767778
Burkina Faso;2023;23251485
Burkina Faso;2022;22673762
Burkina Faso;2020;21522626
Burkina Faso;2015;18718019
Burkina Faso;2010;16116845
Burkina Faso;2000;11882888
Burkina Faso;1990;9131361
Burundi;2023;13238559
Burundi;2022;12889576
Burundi;2020;12220227
Burundi;2015;10727148
Burundi;2010;9126605
Burundi;2000;6307659
Burundi;1990;5483793
Cambodia;2023;16944826
Cambodia;2022;16767842
Cambodia;2020;16396860
Cambodia;2015;15417523
Cambodia;2010;14363532
Cambodia;2000;12118841
Cambodia;1990;8910808
Cameroon;2023;28647293
Cameroon;2022;27914536
Cameroon;2020;26491087
Cameroon;2015;23012646
Cameroon;2010;19878036
Cameroon;2000;15091594
Cameroon;1990;11430520
Canada;2023;38781291
Canada;2022;38454327
Canada;2020;37888705
Canada;2015;35732126
Canada;2010;33963412
Canada;2000;30683313
Canada;1990;27657204
Cape Verde;2023;598682
Cape Verde;2022;593149
Cape Verde;2020;582640
Cape Verde;2015;552166
Cape Verde;2010;521212
Cape Verde;2000;458251
Cape Verde;1990;364563
Cayman Islands;2023;69310
Cayman Islands;2022;68706
Cayman Islands;2020;67311
Cayman Islands;2015;60911
Cayman Islands;2010;54074
Cayman Islands;2000;39658
Cayman Islands;1990;26027
Central African Republic;2023;5742315
Central African Republic;2022;5579144
Central African Republic;2020;5343020
Central African Republic;2015;4819333
Central African Republic;2010;4660067
Central African Republic;2000;3759170
Central African Republic;1990;2809221
Chad;2023;18278568
Chad;2022;17723315
Chad;2020;16644701
Chad;2015;14140274
Chad;2010;11894727
Chad;2000;8259137
Chad;1990;5827069
Chile;2023;19629590
Chile;2022;19603733
Chile;2020;19300315
Chile;2015;17870124
Chile;2010;17004162
Chile;2000;15351799
Chile;1990;13342868
China;2023;1425671352
China;2022;1425887337
China;2020;1424929781
China;2015;1393715448
China;2010;1348191368
China;2000;1264099069
China;1990;1153704252
Colombia;2023;52085168
Colombia;2022;51874024
Colombia;2020;50930662
Colombia;2015;47119728
Colombia;2010;44816108
Colombia;2000;39215135
Colombia;1990;32601393
Comoros;2023;852075
Comoros;2022;836774
Comoros;2020;806166
Comoros;2015;730216
Comoros;2010;656024
Comoros;2000;536758
Comoros;1990;431119
Cook Islands;2023;17044
Cook Islands;2022;17011
Cook Islands;2020;17029
Cook Islands;2015;17695
Cook Islands;2010;17212
Cook Islands;2000;15897
Cook Islands;1990;17123
Costa Rica;2023;5212173
Costa Rica;2022;5180829
Costa Rica;2020;5123105
Costa Rica;2015;4895242
Costa Rica;2010;4622252
Costa Rica;2000;3979193
Costa Rica;1990;3158253
Croatia;2023;4008617
Croatia;2022;4030358
Croatia;2020;4096868
Croatia;2015;4254815
Croatia;2010;4368682
Croatia;2000;4548434
Croatia;1990;4873707
Cuba;2023;11194449
Cuba;2022;11212191
Cuba;2020;11300698
Cuba;2015;11339894
Cuba;2010;11290417
Cuba;2000;11105791
Cuba;1990;10626680
Curacao;2023;192077
Curacao;2022;191163
Curacao;2020;189288
Curacao;2015;169572
Curacao;2010;159380
Curacao;2000;141424
Curacao;1990;155446
Cyprus;2023;1260138
Cyprus;2022;1251488
Cyprus;2020;1237537
Cyprus;2015;1187280
Cyprus;2010;1129686
Cyprus;2000;948237
Cyprus;1990;788500
Czech Republic;2023;10495295
Czech Republic;2022;10493986
Czech Republic;2020;10530953
Czech Republic;2015;10523798
Czech Republic;2010;10464749
Czech Republic;2000;10234710
Czech Republic;1990;10301192
Denmark;2023;5910913
Denmark;2022;5882261
Denmark;2020;5825641
Denmark;2015;5677796
Denmark;2010;5550849
Denmark;2000;5340655
Denmark;1990;5144623
Djibouti;2023;1136455
Djibouti;2022;1120849
Djibouti;2020;1090156
Djibouti;2015;1006259
Djibouti;2010;919199
Djibouti;2000;742033
Djibouti;1990;577173
Dominica;2023;73040
Dominica;2022;72737
Dominica;2020;71995
Dominica;2015;70007
Dominica;2010;68755
Dominica;2000;68346
Dominica;1990;69481
Dominican Republic;2023;11332972
Dominican Republic;2022;11228821
Dominican Republic;2020;10999664
Dominican Republic;2015;10405832
Dominican Republic;2010;9775755
Dominican Republic;2000;8540791
Dominican Republic;1990;7129004
DR Congo;2023;102262808
DR Congo;2022;99010212
DR Congo;2020;92853164
DR Congo;2015;78656904
DR Congo;2010;66391257
DR Congo;2000;48616317
DR Congo;1990;35987541
Ecuador;2023;18190484
Ecuador;2022;18001000
Ecuador;2020;17588595
Ecuador;2015;16195902
Ecuador;2010;14989585
Ecuador;2000;12626507
Ecuador;1990;10449837
Egypt;2023;112716598
Egypt;2022;110990103
Egypt;2020;107465134
Egypt;2015;97723799
Egypt;2010;87252413
Egypt;2000;71371371
Egypt;1990;57214630
El Salvador;2023;6364943
El Salvador;2022;6336392
El Salvador;2020;6292731
El Salvador;2015;6231066
El Salvador;2010;6114034
El Salvador;2000;5958482
El Salvador;1990;5367179
Equatorial Guinea;2023;1714671
Equatorial Guinea;2022;1674908
Equatorial Guinea;2020;1596049
Equatorial Guinea;2015;1346973
Equatorial Guinea;2010;1094524
Equatorial Guinea;2000;684977
Equatorial Guinea;1990;465549
Eritrea;2023;3748901
Eritrea;2022;3684032
Eritrea;2020;3555868
Eritrea;2015;3340006
Eritrea;2010;3147727
Eritrea;2000;2392880
Eritrea;1990;2149960
Estonia;2023;1322765
Estonia;2022;1326062
Estonia;2020;1329444
Estonia;2015;1314657
Estonia;2010;1331535
Estonia;2000;1396877
Estonia;1990;1570674
Eswatini;2023;1210822
Eswatini;2022;1201670
Eswatini;2020;1180655
Eswatini;2015;1133936
Eswatini;2010;1099920
Eswatini;2000;1030496
Eswatini;1990;854011
Ethiopia;2023;126527060
Ethiopia;2022;123379924
Ethiopia;2020;117190911
Ethiopia;2015;102471895
Ethiopia;2010;89237791
Ethiopia;2000;67031867
Ethiopia;1990;47878073
Falkland Islands;2023;3791
Falkland Islands;2022;3780
Falkland Islands;2020;3747
Falkland Islands;2015;3408
Falkland Islands;2010;3187
Falkland Islands;2000;3080
Falkland Islands;1990;2332
Faroe Islands;2023;53270
Faroe Islands;2022;53090
Faroe Islands;2020;52415
Faroe Islands;2015;48816
Faroe Islands;2010;48410
Faroe Islands;2000;45660
Faroe Islands;1990;47479
Fiji;2023;936375
Fiji;2022;929766
Fiji;2020;920422
Fiji;2015;917200
Fiji;2010;905169
Fiji;2000;832509
Fiji;1990;780430
Finland;2023;5545475
Finland;2022;5540745
Finland;2020;5529468
Finland;2015;5479461
Finland;2010;5363271
Finland;2000;5176209
Finland;1990;4986545
France;2023;64756584
France;2022;64626628
France;2020;64480053
France;2015;63809769
France;2010;62444567
France;2000;58665453
France;1990;56412897
French Guiana;2023;312155
French Guiana;2022;304557
French Guiana;2020;290969
French Guiana;2015;257026
French Guiana;2010;228453
French Guiana;2000;164351
French Guiana;1990;113931
French Polynesia;2023;308872
French Polynesia;2022;306279
French Polynesia;2020;301920
French Polynesia;2015;291787
French Polynesia;2010;283788
French Polynesia;2000;250927
French Polynesia;1990;211089
Gabon;2023;2436566
Gabon;2022;2388992
Gabon;2020;2292573
Gabon;2015;2028517
Gabon;2010;1711105
Gabon;2000;1272935
Gabon;1990;983028
Gambia;2023;2773168
Gambia;2022;2705992
Gambia;2020;2573995
Gambia;2015;2253133
Gambia;2010;1937275
Gambia;2000;1437539
Gambia;1990;1040616
Georgia;2023;3728282
Georgia;2022;3744385
Georgia;2020;3765912
Georgia;2015;3771132
Georgia;2010;3836831
Georgia;2000;4265172
Georgia;1990;5391636
Germany;2023;83294633
Germany;2022;83369843
Germany;2020;83328988
Germany;2015;82073226
Germany;2010;81325090
Germany;2000;81551677
Germany;1990;79370196
Ghana;2023;34121985
Ghana;2022;33475870
Ghana;2020;32180401
Ghana;2015;28870939
Ghana;2010;25574719
Ghana;2000;19665502
Ghana;1990;15446982
Gibraltar;2023;32688
Gibraltar;2022;32649
Gibraltar;2020;32709
Gibraltar;2015;32520
Gibraltar;2010;31262
Gibraltar;2000;27741
Gibraltar;1990;27317
Greece;2023;10341277
Greece;2022;10384971
Greece;2020;10512232
Greece;2015;10806641
Greece;2010;11033783
Greece;2000;11038109
Greece;1990;10302255
Greenland;2023;56643
Greenland;2022;56466
Greenland;2020;56026
Greenland;2015;55895
Greenland;2010;56351
Greenland;2000;56184
Greenland;1990;55599
Grenada;2023;126183
Grenada;2022;125438
Grenada;2020;123663
Grenada;2015;118980
Grenada;2010;114039
Grenada;2000;107432
Grenada;1990;99047
Guadeloupe;2023;395839
Guadeloupe;2022;395752
Guadeloupe;2020;395642
Guadeloupe;2015;399089
Guadeloupe;2010;403072
Guadeloupe;2000;424067
Guadeloupe;1990;391951
Guam;2023;172952
Guam;2022;171774
Guam;2020;169231
Guam;2015;167978
Guam;2010;164905
Guam;2000;160188
Guam;1990;138263
Guatemala;2023;18092026
Guatemala;2022;17843908
Guatemala;2020;17362718
Guatemala;2015;16001107
Guatemala;2010;14543121
Guatemala;2000;11735894
Guatemala;1990;9084780
Guernsey;2023;63544
Guernsey;2022;63301
Guernsey;2020;62794
Guernsey;2015;61629
Guernsey;2010;60782
Guernsey;2000;59114
Guernsey;1990;57727
Guinea;2023;14190612
Guinea;2022;13859341
Guinea;2020;13205153
Guinea;2015;11625998
Guinea;2010;10270728
Guinea;2000;8336967
Guinea;1990;6354145
Guinea-Bissau;2023;2150842
Guinea-Bissau;2022;2105566
Guinea-Bissau;2020;2015828
Guinea-Bissau;2015;1788919
Guinea-Bissau;2010;1567220
Guinea-Bissau;2000;1230849
Guinea-Bissau;1990;973551
Guyana;2023;813834
Guyana;2022;808726
Guyana;2020;797202
Guyana;2015;755031
Guyana;2010;747932
Guyana;2000;759051
Guyana;1990;747116
Haiti;2023;11724763
Haiti;2022;11584996
Haiti;2020;11306801
Haiti;2015;10563757
Haiti;2010;9842880
Haiti;2000;8360225
Haiti;1990;6925331
Honduras;2023;10593798
Honduras;2022;10432860
Honduras;2020;10121763
Honduras;2015;9294505
Honduras;2010;8450933
Honduras;2000;6656725
Honduras;1990;5053234
Hong Kong;2023;7491609
Hong Kong;2022;7488865
Hong Kong;2020;7500958
Hong Kong;2015;7399838
Hong Kong;2010;7132438
Hong Kong;2000;6731195
Hong Kong;1990;5838574
Hungary;2023;10156239
Hungary;2022;9967308
Hungary;2020;9750573
Hungary;2015;9844246
Hungary;2010;9986825
Hungary;2000;10202055
Hungary;1990;10375989
Iceland;2023;375318
Iceland;2022;372899
Iceland;2020;366669
Iceland;2015;331060
Iceland;2010;318333
Iceland;2000;281462
Iceland;1990;255019
India;2023;1428627663
India;2022;1417173173
India;2020;1396387127
India;2015;1322866505
India;2010;1240613620
India;2000;1059633675
India;1990;870452165
Indonesia;2023;277534122
Indonesia;2022;275501339
Indonesia;2020;271857970
Indonesia;2015;259091970
Indonesia;2010;244016173
Indonesia;2000;214072421
Indonesia;1990;182159874
Iran;2023;89172767
Iran;2022;88550570
Iran;2020;87290193
Iran;2015;81790841
Iran;2010;75373855
Iran;2000;65544383
Iran;1990;55793629
Iraq;2023;45504560
Iraq;2022;44496122
Iraq;2020;42556984
Iraq;2015;37757813
Iraq;2010;31264875
Iraq;2000;24628858
Iraq;1990;17658381
Ireland;2023;5056935
Ireland;2022;5023109
Ireland;2020;4946119
Ireland;2015;4665760
Ireland;2010;4524585
Ireland;2000;3768950
Ireland;1990;3485374
Isle of Man;2023;84710
Isle of Man;2022;84519
Isle of Man;2020;84046
Isle of Man;2015;83593
Isle of Man;2010;83828
Isle of Man;2000;75562
Isle of Man;1990;68865
Israel;2023;9174520
Israel;2022;9038309
Israel;2020;8757489
Israel;2015;8007778
Israel;2010;7328445
Israel;2000;6116958
Israel;1990;4803254
Italy;2023;58870762
Italy;2022;59037474
Italy;2020;59500579
Italy;2015;60232906
Italy;2010;59822450
Italy;2000;56966397
Italy;1990;56756561
Ivory Coast;2023;28873034
Ivory Coast;2022;28160542
Ivory Coast;2020;26811790
Ivory Coast;2015;23596741
Ivory Coast;2010;21120042
Ivory Coast;2000;16799670
Ivory Coast;1990;11910540
Jamaica;2023;2825544
Jamaica;2022;2827377
Jamaica;2020;2820436
Jamaica;2015;2794445
Jamaica;2010;2733896
Jamaica;2000;2612205
Jamaica;1990;2392030
Japan;2023;123294513
Japan;2022;123951692
Japan;2020;125244761
Japan;2015;127250933
Japan;2010;128105431
Japan;2000;126803861
Japan;1990;123686321
Jersey;2023;111802
Jersey;2022;110778
Jersey;2020;108319
Jersey;2015;100561
Jersey;2010;96151
Jersey;2000;86192
Jersey;1990;82874
Jordan;2023;11337052
Jordan;2022;11285869
Jordan;2020;10928721
Jordan;2015;9494246
Jordan;2010;6931258
Jordan;2000;5056174
Jordan;1990;3480587
Kazakhstan;2023;19606633
Kazakhstan;2022;19397998
Kazakhstan;2020;18979243
Kazakhstan;2015;17835909
Kazakhstan;2010;16627837
Kazakhstan;2000;15236253
Kazakhstan;1990;16866563
Kenya;2023;55100586
Kenya;2022;54027487
Kenya;2020;51985780
Kenya;2015;46851488
Kenya;2010;41517895
Kenya;2000;30851606
Kenya;1990;23162269
Kiribati;2023;133515
Kiribati;2022;131232
Kiribati;2020;126463
Kiribati;2015;116707
Kiribati;2010;107995
Kiribati;2000;88826
Kiribati;1990;75124
Kuwait;2023;4310108
Kuwait;2022;4268873
Kuwait;2020;4360444
Kuwait;2015;3908743
Kuwait;2010;2943356
Kuwait;2000;1934901
Kuwait;1990;1674938
Kyrgyzstan;2023;6735347
Kyrgyzstan;2022;6630623
Kyrgyzstan;2020;6424874
Kyrgyzstan;2015;5914980
Kyrgyzstan;2010;5483774
Kyrgyzstan;2000;4935182
Kyrgyzstan;1990;4394734
Laos;2023;7633779
Laos;2022;7529475
Laos;2020;7319399
Laos;2015;6787419
Laos;2010;6323418
Laos;2000;5430853
Laos;1990;4314443
Latvia;2023;1830211
Latvia;2022;1850651
Latvia;2020;1897052
Latvia;2015;1991955
Latvia;2010;2101530
Latvia;2000;2392530
Latvia;1990;2689391
Lebanon;2023;5353930
Lebanon;2022;5489739
Lebanon;2020;5662923
Lebanon;2015;6398940
Lebanon;2010;4995800
Lebanon;2000;4320642
Lebanon;1990;3593700
Lesotho;2023;2330318
Lesotho;2022;2305825
Lesotho;2020;2254100
Lesotho;2015;2118521
Lesotho;2010;2022747
Lesotho;2000;1998630
Lesotho;1990;1798997
Liberia;2023;5418377
Liberia;2022;5302681
Liberia;2020;5087584
Liberia;2015;4612329
Liberia;2010;4019956
Liberia;2000;2895224
Liberia;1990;2209731
Libya;2023;6888388
Libya;2022;6812341
Libya;2020;6653942
Libya;2015;6192235
Libya;2010;6491988
Libya;2000;5154790
Libya;1990;4236983
Liechtenstein;2023;39584
Liechtenstein;2022;39327
Liechtenstein;2020;38756
Liechtenstein;2015;37355
Liechtenstein;2010;35926
Liechtenstein;2000;33026
Liechtenstein;1990;28765
Lithuania;2023;2718352
Lithuania;2022;2750055
Lithuania;2020;2820267
Lithuania;2015;2963765
Lithuania;2010;3139019
Lithuania;2000;3599637
Lithuania;1990;3785847
Luxembourg;2023;654768
Luxembourg;2022;647599
Luxembourg;2020;630399
Luxembourg;2015;569408
Luxembourg;2010;507070
Luxembourg;2000;435628
Luxembourg;1990;381267
Macau;2023;704149
Macau;2022;695168
Macau;2020;676283
Macau;2015;615239
Macau;2010;557297
Macau;2000;431896
Macau;1990;350227
Madagascar;2023;30325732
